date,class,latitude,longitude,confidence
04/12/2020,0.0,-27.511470715452553,153.27539779750202,0.878723
04/12/2020,0.0,-27.511831511762864,153.2786040686573,0.772162
04/12/2020,0.0,-27.51047407211307,153.27693180899752,0.861332
04/12/2020,0.0,-27.50965642355056,153.27744408338924,0.864935
04/12/2020,0.0,-27.509454168726307,153.273383267378,0.846924
04/12/2020,0.0,-27.512325542831434,153.27183074703672,0.882379
04/12/2020,0.0,-27.506170353796975,153.28224634392552,0.878686
04/12/2020,0.0,-27.507878940230526,153.2895380031627,0.756214
04/12/2020,0.0,-27.49714974520861,153.30858887663743,0.579212
04/12/2020,0.0,-27.491510247986444,153.31132545133627,0.843765
04/12/2020,0.0,-27.50624808517269,153.30785015360857,0.834518
04/12/2020,0.0,-27.508085213822014,153.30220964143882,0.841635
04/12/2020,0.0,-27.509176892320273,153.30262334632448,0.76587
04/12/2020,0.0,-27.50030613745893,153.29597880082176,0.838382
04/12/2020,0.0,-27.476965667157852,153.28432598870833,0.855942
04/12/2020,0.0,-27.50201585755902,153.36828737084343,0.762986
04/12/2020,0.0,-27.501736524805604,153.36861864191712,0.876173
04/12/2020,0.0,-27.501449218540486,153.36789958723546,0.724328
04/12/2020,0.0,-27.501975596657758,153.36782974071247,0.759886
04/12/2020,0.0,-27.501868374489657,153.3670861986846,0.84688
04/12/2020,0.0,-27.50138095442175,153.3670551562484,0.861793
04/12/2020,0.0,-27.50253506770394,153.36653694203176,0.830472
04/12/2020,0.0,-27.503980064740354,153.3680385793685,0.871531
04/12/2020,0.0,-27.503055948671648,153.36381646335627,0.812544
04/12/2020,0.0,-27.503029066216374,153.3643858735518,0.871003
04/12/2020,0.0,-27.503651506026742,153.363920937839,0.876914
04/12/2020,0.0,-27.50358557812344,153.36324206025097,0.854321
04/12/2020,0.0,-27.502813992563887,153.36312753111486,0.861816
04/12/2020,0.0,-27.505456829749413,153.36664818821242,0.875536
04/12/2020,0.0,-27.50506910547622,153.36555693034694,0.698313
04/12/2020,0.0,-27.503265651826688,153.36646723153189,0.855377
04/12/2020,0.0,-27.50398792412459,153.366343380015,0.833681
04/12/2020,0.0,-27.50322906943553,153.36493231007722,0.788824
04/12/2020,0.0,-27.50314696843583,153.36525443580035,0.624787
04/12/2020,0.0,-27.503493908409215,153.36560234108563,0.783158
04/12/2020,0.0,-27.50396623731406,153.36493569101117,0.747869
04/12/2020,0.0,-27.50416502399104,153.36561974674603,0.849225
04/12/2020,0.0,-27.503632626760606,153.36239839921654,0.888015
04/12/2020,0.0,-27.504282388769315,153.3624945021292,0.874732
04/12/2020,0.0,-27.503634957595253,153.3615023962176,0.89004
04/12/2020,0.0,-27.505884849755933,153.36107549359173,0.868517
04/12/2020,0.0,-27.504992974340144,153.36149164462273,0.859811
04/12/2020,0.0,-27.50493330320772,153.3605147428615,0.87867
04/12/2020,0.0,-27.504484699306122,153.36101682083182,0.874931
04/12/2020,0.0,-27.50400156942854,153.36047089085966,0.856725
04/12/2020,0.0,-27.50705447195625,153.36190843660916,0.883524
04/12/2020,0.0,-27.506531632599064,153.3636129054143,0.906632
04/12/2020,0.0,-27.50672811806405,153.3648569962952,0.883967
04/12/2020,0.0,-27.505084788819286,153.36393277121152,0.895712
04/12/2020,0.0,-27.504376342461565,153.3641103096722,0.837188
04/12/2020,0.0,-27.50437093044971,153.36326647139128,0.844401
04/12/2020,0.0,-27.505496774346707,153.36303524546284,0.897234
04/12/2020,0.0,-27.505750371982558,153.36212380278732,0.901669
04/12/2020,0.0,-27.50685483289235,153.35600110944594,0.816474
04/12/2020,0.0,-27.506428901414825,153.35786092551848,0.856373
04/12/2020,0.0,-27.507816313271285,153.35875861654785,0.900048
04/12/2020,0.0,-27.50695532188027,153.35868843353865,0.850562
04/12/2020,0.0,-27.505421642231283,153.3597508181488,0.86641
04/12/2020,0.0,-27.505829786529745,153.35896906472306,0.899015
04/12/2020,0.0,-27.507419320030706,153.36019769488072,0.896687
04/12/2020,0.0,-27.506567577502807,153.3597156258108,0.882637
04/12/2020,0.0,-27.520001793295116,153.36893868923994,0.835969
