date,class,latitude,longitude,confidence
15/05/2017,0,-27.17569771,153.3703795,0.773152
15/05/2017,0,-27.17735095,153.3710707,0.788746
15/05/2017,0,-27.17874875,153.3695957,0.641235
15/05/2017,0,-27.18574058,153.3680893,0.56427
25/05/2017,0,-27.16967495,153.3697475,0.721103
25/05/2017,0,-27.16794257,153.3693491,0.805367
6/3/2017,0,-27.12617409,153.3629297,0.714168
6/3/2017,0,-27.16998737,153.3693852,0.640915
6/5/2017,0,-27.16818292,153.370642,0.705263
6/5/2017,0,-27.16634393,153.369591,0.81979
6/5/2017,0,-27.17797185,153.3714809,0.544579
25/06/2017,0,-27.17434763,153.3696666,0.877793
25/06/2017,0,-27.17284286,153.3694855,0.784815
25/06/2017,0,-27.16988306,153.3700864,0.808972
25/06/2017,0,-27.17028516,153.3708549,0.825308
25/06/2017,0,-27.16822883,153.3696859,0.824366
25/06/2017,0,-27.1662915,153.369395,0.84926
7/1/2017,0,-27.17791767,153.3714858,0.661041
7/1/2017,0,-27.18839934,153.3663867,0.588087
7/1/2017,0,-27.16386662,153.3692288,0.637449
22/07/2017,0,-27.1624869,153.3686186,0.622736
22/07/2017,0,-27.1628112,153.3688922,0.694994
22/07/2017,0,-27.1659073,153.3698032,0.765779
22/07/2017,0,-27.16531024,153.3695716,0.708112
22/07/2017,0,-27.16486758,153.3696736,0.621633
22/07/2017,0,-27.16483412,153.369242,0.618181
22/07/2017,0,-27.16425612,153.3694571,0.716391
22/07/2017,0,-27.16381205,153.36938,0.543134
22/07/2017,0,-27.16451752,153.3688978,0.679647
22/07/2017,0,-27.17629386,153.3710034,0.583738
22/07/2017,0,-27.18340614,153.3689027,0.782315
22/07/2017,0,-27.12696468,153.3635679,0.546409
22/07/2017,1,-27.14786006,153.3638172,0.530706
22/07/2017,1,-27.16020888,153.3517187,0.776733
22/07/2017,1,-27.12960838,153.3589247,0.782955
30/07/2017,0,-27.17163539,153.3696783,0.727616
30/07/2017,0,-27.17145211,153.3685668,0.79969
30/07/2017,0,-27.17004463,153.3694989,0.682504
30/07/2017,0,-27.16844052,153.3601289,0.652082
8/12/2017,0,-27.16732464,153.3700123,0.726902
8/12/2017,0,-27.16626217,153.3697817,0.678296
12/8/2017,0,-27.17985469,153.3713105,0.699672
12/8/2017,0,-27.17753465,153.371653,0.732932
12/8/2017,0,-27.16558525,153.3697069,0.795514
12/8/2017,0,-27.16160625,153.3687671,0.893212
12/8/2017,0,-27.16259712,153.368706,0.862187
12/8/2017,0,-27.16330845,153.3685272,0.806352
12/8/2017,0,-27.16365693,153.3688237,0.810894
12/8/2017,1,-27.12374253,153.3503105,0.807044
12/8/2017,1,-27.14856176,153.3460621,0.705018
16/04/2018,0,-27.16504416,153.3694749,0.621142
16/04/2018,0,-27.17810053,153.3714712,0.520297
23/06/2018,0,-27.1728664,153.371469,0.706534
23/06/2018,0,-27.1746986,153.3709906,0.569291
14/07/2018,0,-27.16226284,153.36885,0.633077
14/07/2018,0,-27.16161621,153.3684139,0.716691
14/07/2018,0,-27.16342057,153.3689052,0.716905
14/07/2018,0,-27.17805309,153.3714862,0.586389
8/4/2018,0,-27.16605143,153.370099,0.588225
8/4/2018,0,-27.16766921,153.3703011,0.598823
28/08/2018,0,-27.18189075,153.3695304,0.646447
28/08/2018,0,-27.18137368,153.3694378,0.734865
24/03/2019,0,-27.16415577,153.3533549,0.550775
24/03/2019,0,-27.17428351,153.3716384,0.847164
24/03/2019,0,-27.16925717,153.3708988,0.63117
24/03/2019,0,-27.16711811,153.3701328,0.761117
24/03/2019,0,-27.16682493,153.3694959,0.708468
5/5/2019,0,-27.16675539,153.3701921,0.566897
5/5/2019,0,-27.16702122,153.3695268,0.504645
5/5/2019,0,-27.16754834,153.3705581,0.764137
5/5/2019,0,-27.16892736,153.3707898,0.811073
5/5/2019,0,-27.18909324,153.3651472,0.7967
13/06/2019,0,-27.16607159,153.3701596,0.733797
13/06/2019,0,-27.16665469,153.3698587,0.738391
29/06/2019,0,-27.16787195,153.3704532,0.67822
29/06/2019,0,-27.16712808,153.3700874,0.519902
29/06/2019,0,-27.18647954,153.3651538,0.799546
