date,class,latitude,longitude,confidence
26/09/2016,0.0,-27.470262576614857,153.41445201590597,0.690329
26/09/2016,0.0,-27.468700544777118,153.4169085574241,0.76708
26/09/2016,0.0,-27.4692143528018,153.4171685751241,0.513545
26/09/2016,0.0,-27.469892205219285,153.41691304168603,0.61559
26/09/2016,0.0,-27.467964630814997,153.41755859690744,0.627011
26/09/2016,0.0,-27.488112217334805,153.35077692741436,0.66881
26/09/2016,0.0,-27.483032274074496,153.35223908822,0.807054
26/09/2016,0.0,-27.50287231448734,153.3667051160213,0.770476
26/09/2016,0.0,-27.50382729209539,153.36557004056016,0.792114
26/09/2016,0.0,-27.503721920008715,153.36633206434638,0.687139
26/09/2016,0.0,-27.50411569704763,153.36247591851804,0.818379
26/09/2016,0.0,-27.50413901600517,153.3639187436486,0.631398
26/09/2016,0.0,-27.50194879030723,153.37281461051154,0.699359
26/09/2016,0.0,-27.51610271578618,153.37608281517873,0.621974
08/04/2017,0.0,-27.483599762269805,153.35197734404,0.682604
08/04/2017,0.0,-27.48270539349217,153.35221744312867,0.623196
17/05/2017,0.0,-27.472193068403907,153.26895380781758,0.612556
17/05/2017,0.0,-27.47831255582004,153.32078928312455,0.519325
01/06/2017,0.0,-27.512286883997195,153.27427592022127,0.755755
01/06/2017,0.0,-27.51269705047211,153.27376488605236,0.831177
01/06/2017,0.0,-27.512783703471015,153.27298182516907,0.840173
01/06/2017,0.0,-27.513405552354147,153.2735312236469,0.852911
01/06/2017,0.0,-27.513254124010484,153.27477952113298,0.535277
01/06/2017,0.0,-27.51156053952101,153.27521576459927,0.650338
01/06/2017,0.0,-27.514922402619607,153.27067471600404,0.840017
01/06/2017,0.0,-27.51417527131106,153.28140388898908,0.555497
01/06/2017,0.0,-27.480121413786513,153.36093214425455,0.645707
01/06/2017,0.0,-27.491224689644152,153.40166413122114,0.735119
01/06/2017,0.0,-27.489593794140905,153.40143993110166,0.852892
01/06/2017,0.0,-27.490304753481908,153.4010761767779,0.799984
01/06/2017,0.0,-27.4903590976094,153.40168123799103,0.757492
01/06/2017,0.0,-27.488742221128554,153.40222454574496,0.701878
01/06/2017,0.0,-27.489084449681364,153.40188630667583,0.685099
01/06/2017,0.0,-27.48878693055852,153.40177920410326,0.752174
01/06/2017,0.0,-27.4894929328968,153.40312317981173,0.617681
01/06/2017,0.0,-27.4882914070717,153.40340730438282,0.632131
01/06/2017,0.0,-27.488572455733443,153.4030514927405,0.634304
03/06/2017,0.0,-27.489098033041707,153.40187279736875,0.580823
03/06/2017,0.0,-27.48879002658423,153.4017598439485,0.71296
03/06/2017,0.0,-27.48961387323731,153.40143810570342,0.831236
03/06/2017,0.0,-27.490371593624438,153.40165344264716,0.714008
03/06/2017,0.0,-27.490319098611064,153.40107243229943,0.802808
03/06/2017,0.0,-27.491224625637898,153.4016869099107,0.789073
03/06/2017,0.0,-27.467272185113917,153.4179393248101,0.55899
03/06/2017,0.0,-27.470138040139638,153.4162155858342,0.538469
03/06/2017,0.0,-27.507979267850537,153.32805890062502,0.790842
03/06/2017,0.0,-27.479997908373072,153.36242731517996,0.774127
03/06/2017,0.0,-27.481780366213616,153.36396786984608,0.772192
03/06/2017,0.0,-27.482783912378018,153.35270357365127,0.743962
03/06/2017,0.0,-27.482181628327357,153.35287036209928,0.645051
03/06/2017,0.0,-27.48251461577585,153.35201944931876,0.8155
03/06/2017,0.0,-27.48343095604576,153.35203616623653,0.706896
03/06/2017,0.0,-27.480251165436805,153.35246300792565,0.847196
03/06/2017,0.0,-27.479406062314972,153.35252326913297,0.832716
03/06/2017,0.0,-27.480237493853352,153.35351537494466,0.803869
03/06/2017,0.0,-27.501261492173697,153.37660357267822,0.785715
03/06/2017,1.0,-27.52043540965265,153.3807676322028,0.617738
03/06/2017,1.0,-27.524518483233653,153.36424404732256,0.617088
03/06/2017,1.0,-27.491145539883505,153.3899729433171,0.808914
03/06/2017,1.0,-27.470006040491917,153.34566393529803,0.585558
03/06/2017,1.0,-27.508512040719456,153.33181177913622,0.52907
05/06/2017,0.0,-27.513430082708133,153.2748255334657,0.765884
05/06/2017,0.0,-27.51400348295351,153.27183625831594,0.836419
05/06/2017,0.0,-27.489156219460636,153.40204383469123,0.543863
05/06/2017,0.0,-27.48883180715268,153.40184019416998,0.77943
05/06/2017,0.0,-27.489570178711986,153.40250088451552,0.604112
05/06/2017,0.0,-27.490400146458953,153.40114296045152,0.846945
05/06/2017,0.0,-27.49043981640754,153.4018359076474,0.736387
05/06/2017,0.0,-27.489735369400975,153.4015705454704,0.826787
05/06/2017,0.0,-27.49130561315924,153.40177831957016,0.787294
05/06/2017,0.0,-27.489743097509038,153.40357963786542,0.590562
05/06/2017,0.0,-27.503073665989916,153.36737778898973,0.70531
05/06/2017,0.0,-27.502416022433586,153.37026105663486,0.785424
05/06/2017,0.0,-27.506105625995925,153.3575162778625,0.636788
05/06/2017,0.0,-27.50728488826535,153.35707965690918,0.692298
05/06/2017,0.0,-27.50492084798606,153.36009422262936,0.637576
05/06/2017,0.0,-27.504421179782867,153.36217318582874,0.630888
05/06/2017,0.0,-27.48487738596402,153.35190548499537,0.642188
24/06/2017,0.0,-27.513083715722875,153.27191614471545,0.56058
24/06/2017,0.0,-27.513184957997048,153.27092157211746,0.572545
24/06/2017,0.0,-27.514397342995988,153.27187706198401,0.760647
24/06/2017,0.0,-27.51375990878154,153.2717445255726,0.833364
24/06/2017,0.0,-27.51359659135674,153.2727907305864,0.764829
24/06/2017,0.0,-27.514675597628294,153.28176208108448,0.583154
