date,area_coverage,cloud_coverage
2016-07-03,0.0031707236665032773,0.5942351592094379
2016-07-19,0.45797509405445075,0.19868961446846
2016-08-04,0.8347119720355681,0.03604117047496454
2016-08-09,0.657461943408077,0.00030318892311561934
2016-08-15,0.7809396707870898,0.16677117367550298
2016-08-30,0.009502549577974036,0.8698362671758791
2016-08-31,0.5212370380241191,0.20605691932092268
2016-09-04,0.0056223120890051825,0.44510385390198004
2016-09-10,0.2407874860961813,0.18214869712308837
2016-09-16,0.012773150338365322,0.27847619921336464
2016-09-21,0.6197485120004198,0.0007917973312668993
2016-09-25,0.24787301959317878,0.0015865967728648585
2016-09-30,0.532195086103853,4.7940008143893287e-05
2016-10-01,0.5861638048308726,7.71765019461798e-06
2016-10-07,0.6277617354474507,0.18748543627052316
2016-10-11,0.001356112847974032,0.7644014791906868
2016-10-12,0.5475005392516594,0.028757980156639593
2016-10-15,0.5467307928608889,0.06909415603084568
2016-10-20,0.7301243880445912,0.17280300158990264
2016-10-25,0.5646206780896357,1.7613347688879883e-05
2016-10-28,0.09304002309957154,0.3263913486508073
2016-11-01,0.03324376104942787,0.0002590069774302401
2016-11-02,0.12349803583663685,0.2961733547896448
2016-11-04,0.45631401929995496,2.067326153283611e-05
2016-11-05,0.5692391519926112,6.849072814721513e-05
2016-11-06,0.569367078706716,0.054320620371895924
2016-11-07,0.044799986768676296,0.024684517474662538
2016-11-09,0.33410812029923476,0.2286479998828961
2016-11-10,0.0003042552485035065,0.009719983883964545
2016-11-11,0.025130330418116884,0.02328551441623424
2016-11-14,0.49838003663306096,0.127545379387761
2016-11-19,0.5587498148372494,0.06077287163683346
2016-11-22,0.5839414796645654,0.16950228792389796
2016-11-24,0.2696202985349775,0.40779562165473304
2016-11-27,0.13151024149129695,0.08909984879835897
2016-11-29,0.6227444946690206,0.0071447005930925225
2016-12-03,0.03954213611907382,0.08462711173737363
2016-12-04,0.0005737839596702131,0.0
2016-12-09,0.08476132951939876,0.3830816225879781
2016-12-13,0.02986331829198616,0.29819446787943
2016-12-14,0.0,0.0
2016-12-15,0.0,0.21625259067988203
2016-12-25,0.0007312750472802923,0.3260565469832608
2016-12-28,0.051694709876329036,0.19171541004852635
2017-01-07,0.005636462557140881,0.0440717030654494
2017-01-11,0.07799374495372699,0.0024108952759028337
2017-01-12,0.31747342892507774,0.22311355436675595
2017-01-16,0.4697931192518967,0.10561167913050445
2017-01-25,0.2387055243514839,0.3908962156572526
2017-01-30,0.5435675232784949,0.0697364243159285
2017-02-03,0.2302869621883267,0.022982192598756643
2017-02-07,0.0877769107860193,0.4947304161005828
2017-02-08,0.35665935268291526,0.4193163064310777
2017-02-12,0.061817577899282355,0.6551760811779799
2017-02-14,0.1963163433926807,0.04304929850642061
2017-02-16,0.49876300473677787,0.17013842250493047
2017-02-19,0.23958063758714135,0.37621297032704537
2017-02-20,0.668209177276775,0.07373593167599972
2017-02-23,0.5429026885780175,0.24356551428170403
2017-02-25,0.1494007962104473,0.23221516927016833
2017-02-27,0.30504533110151705,0.019933336132466038
2017-03-02,0.16107813324589884,0.04203072522143826
2017-03-03,0.12840258129000065,0.5186971523277368
2017-03-04,0.0,0.9996554600556956
2017-03-06,0.5069845617427191,0.13139991321232425
2017-03-08,0.0,0.0
2017-03-10,0.49751090767559825,8.427308235703917e-05
2017-03-14,0.0,0.8495762711864406
2017-03-16,0.19411068322069513,0.5621726248869519
2017-03-18,0.009446531210480379,0.9863273900836493
2017-03-20,0.00027452764124496435,0.05149899484310812
2017-03-30,0.16959216686914355,0.0061566802881426455
2017-04-02,0.006694747462221994,0.8927940066170287
2017-04-03,0.023189242567875606,0.0
